Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//random,209171,125616,8000.0,15306.341208692484,8.407874964177608,159225.48304195516,5.831817030085433,232.3172315720615,139.51628744499035,8000,12000,20000,28000,36000,62000,64000,75000,98000,135000,159000
,Aggregated,209171,125616,8000.0,15306.341208692484,8.407874964177608,159225.48304195516,5.831817030085433,232.3172315720615,139.51628744499035,8000,12000,20000,28000,36000,62000,64000,75000,98000,135000,159000
