Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//random,431854,60155,58,7235.391815747432,9.379166993312538,75571.68516691308,11.972995503109848,479.4423783788566,66.7838118238574,58,69,130,290,27000,75000,75000,75000,75000,75000,76000
,Aggregated,431854,60155,58,7235.391815747432,9.379166993312538,75571.68516691308,11.972995503109848,479.4423783788566,66.7838118238574,58,69,130,290,27000,75000,75000,75000,75000,75000,76000
