Method,Name,Error,Occurrences
GET,//random,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to api.cmpe492.com timed out. (connect timeout=3600)')",60120
GET,//random,"ConnectionResetError(54, 'Connection reset by peer')",35
